original_term;original_term_clean;clean_name;country_origin;holding;studio_location
.theprodukkt;theprodukkt;Theprodukkt;DEU;;DEU
@unepic_fran;unepic_fran;Unepic Fran;ESP;;ESP
][ Games;superbrothers_games;Superbrothers Games;USA;;USA
07th Expansion;07th_expansion;07th Expansion;JPN;;JPN
0verflow;overflow;Overflow;JPN;;JPN
100 Gates;100_gates;100 Gates;ITA;;ITA
100 Stones Interactive;100_stones_interactive;100 Stones Interactive;AUS;;AUS
1047 Games;1047_games;1047 Games;USA;;USA
10TACLE Studios;10tacle_studios;10tacle Studios;DEU;10tacle Studios;DEU
10tacle Studios AG;10tacle_studios;10tacle Studios;DEU;10tacle Studios;DEU
10Tacle Studios Belgium;10tacle_studios;10tacle Studios;DEU;10tacle Studios;BEL
10th Art Studio;10th_art_studio;10th Art Studio;SRB;;SRB
10tons;10tons;10tons;FIN;;FIN
10tons Ltd;10tons;10tons;FIN;;FIN
11 bit studios;11_bit_studios;11 bit studios;POL;;POL
12 Hit Combo;12_hit_combo;12 Hit Combo;FRA;;FRA
1337 Game Design;1337_game_design;1337 Game Design;SWE;;SWE
13AM Games;13am_games;13AM Games;CAN;;CAN
13cm;13cm;13cm;JPN;;JPN
14 Degrees East;14_degrees_east;14 Degrees East;USA;Interplay;USA
17-Bit;17_bit;17 Bit;USA;;USA
1939 Games;1939_games;1939 Games;ISL;;ISL
1C;1c_company;1C Company;RUS;1C Company;RUS
1C Company;1c_company;1C Company;RUS;1C Company;RUS
1C Company / Avalon Style;1c_company;1C Company;RUS;1C Company;RUS
1C Entertainment;1c_entertainment;1C Entertainment;RUS;1C Company;RUS
1C Maddox Games;1c_maddox_games;Maddox Games;RUS;1C Company;RUS
1C: Maddox Games;1c_maddox_games;Maddox Games;RUS;1C Company;RUS
1C:Ino-Co;1c_ino_co;Ino Co;RUS;1C Company;RUS
1C-SoftClub;1c_softclub;1C Company;RUS;1C Company;RUS
1DER Entertainment;1der_entertainment;1Der Entertainment;TUR;;TUR
1Der Entertainment;1der_entertainment;1Der Entertainment;TUR;;TUR
1P2P;1p2p;1P2P;FRA;;FRA
1st Playable;1st_playable;1st Playable;USA;;USA
1st Playable Productions;1st_playable;1st Playable;USA;;USA
1st Playable Productions / OneNine Studios;1st_playable;1st Playable;USA;;USA
2 by 3 Games;2_by_3_games;2 by 3 Games;USA;;USA
2015, Inc.;2015_inc;2015 Inc;USA;;USA
20Q. Net Inc.;20q_net;20Q Net;USA;;USA
20th Century Fox;20th_century_fox;Fox Interactive;USA;Disney;USA
20th Century Fox Video Games;20th_century_fox_video_games;Fox Interactive;USA;Disney;USA
21 Rocks, LLC;21_rocks;21 Rocks;USA;;USA
21 Street Games LLC;21_street_games;21 Street Games;USA;;USA
21-6 Productions;21_6_productions;21 6 Productions;USA;;USA
